customerid,name,region,joindate,age,gender
1000,ROBERT GOMEZ,West,2/25/2024,34,F
1001,JOHN SILVA,East,12/1/2020,67,M
1002,MARK MARSHALL,Central,8/8/2020,22,F
1003,DAVID BRENNAN,North,5/21/2020,45,F
1004,KERRY COLLINS,North,9/12/2023,59,M
1005,JESSICA MORA,South,8/5/2021,71,M
1006,HANNAH RAY,West,7/3/2021,38,F
1007,DAVID KIM,West,5/20/2020,26,M
1008,WILLIAM RAMIREZ,EAST,9/15/2023,80,F
1009,ZACHARY BELL JR.,East,4/20/2023,53,M
1010,MIKE DAVIS,East,3/23/2022,41,F
1011,AMANDA MYERS,West,9/5/2021,33,M
1012,TARA MILLER,North,8/10/2020,77,F
1013,ALYSSA MORGAN,North,7/22/2022,64,M
1014,CINDY WOODS,East,4/2/2024,29,F
1015,JENNIFER RODGERS,North,2/12/2023,48,F
1016,ANDREA ROBERTS,EAST,5/16/2021,36,M
1017,BRITTNEY BURNETT,North,7/3/2020,55,F
1018,EDWIN GARRISON,south-west,8/31/2020,62,M
1019,MICHELLE TORRES,Central,11/18/2020,24,F
1020,MICHELLE BREWER,East,7/14/2021,70,M
1021,AARON BURNETT,South,2/13/2024,39,F
1022,AUSTIN GUTIERREZ,EAST,11/25/2021,30,M
1023,DUSTIN MEDINA,east,6/14/2021,66,F
1024,ANDRES AVILA,Central,9/19/2022,43,M
1025,GARRETT LEWIS,South,8/4/2023,21,F
1026,GARY WALLS,North,10/5/2023,60,M
1027,ANTHONY SCHROEDER,east,10/4/2020,35,F
1028,HALEY WAGNER,West,11/3/2023,50,M
1029,GINA POWERS,West,10/26/2022,28,F
1030,ALICE ROBINSON,EAST,8/6/2021,74,M
1031,JESSICA FRAZIER,West,10/20/2021,46,F
1032,TERRI LONG,east,10/23/2022,31,M
1033,PAUL PERKINS,east,3/16/2022,58,F
1034,HEATHER SMITH,Central,9/16/2022,25,M
1035,LORRAINE RODRIGUEZ,East,9/26/2022,40,F
1036,ROBERT BISHOP,south-west,9/14/2020,63,M
1037,LISA SANDERS,West,6/3/2020,37,F
1038,JASON FORD,EAST,10/9/2023,52,M
1039,BRANDY GOOD,West,5/21/2023,27,F
1040,ANGEL LEE,Central,4/8/2022,68,M
1041,DAVID BELTRAN,east,1/18/2021,32,F
1042,CHRISTOPHER DODSON,North,10/30/2023,44,M
1043,ERIC PENA,West,6/30/2022,23,F
1044,ANITA HUERTA,East,4/8/2022,56,M
1045,DR. SUSAN BAILEY,North,10/2/2020,42,F
1046,TYLER COLON,Central,3/3/2021,65,M
1047,ASHLEY PEARSON,West,10/4/2020,20,F
1048,DR. DONALD PROCTOR,North,3/17/2024,61,M
1049,REBECCA JORDAN,West,10/8/2022,47,F
1050,JEFFREY MCLAUGHLIN,EAST,3/28/2022,34,M
1051,AMY NGUYEN,Central,2/13/2024,69,F
1052,BRANDON HINTON,south-west,11/10/2022,22,M
1053,BENJAMIN CLINE,east,1/25/2022,49,F
1054,LAURA MCDONALD,South,12/3/2022,75,M
1055,WILLIAM BENITEZ,east,11/4/2020,26,F
1056,KRISTINA WILSON,east,5/15/2023,54,M
1057,KATHY HALL,North,10/27/2023,38,F
1058,STEVEN JACKSON,Central,6/26/2020,72,M
1059,STEVE MASSEY,West,8/6/2020,33,F
1060,MR. CHRISTOPHER THOMPSON,South,4/10/2023,57,M
1061,TAYLOR KAUFMAN,North,7/23/2021,29,F
1062,ASHLEY HARMON,South,2/13/2024,73,M
1063,HOWARD CASE,south-west,2/15/2021,45,F
1064,JOSHUA CLINE,EAST,2/19/2024,30,M
1065,DANIEL ADAMS,Central,7/2/2023,76,F
1066,DERRICK MYERS,North,4/6/2022,35,M
1067,LAWRENCE PEARSON,east,4/29/2023,51,F
1068,MELISSA GUTIERREZ,East,12/25/2023,28,M
1069,VIRGINIA WARREN,North,8/24/2023,78,F
1070,BRITTANY JOHNSON,East,6/4/2021,36,M
1071,CHRISTOPHER FROST,east,8/21/2020,53,F
1072,SHANNON SCHMITT,EAST,8/23/2022,31,M
1073,MATTHEW CLARK,Central,8/21/2023,79,F
1074,ALYSSA EVANS,West,10/27/2021,39,M
1075,JOSEPH CHAVEZ,North,1/1/2023,55,F
1076,GLENN SHELTON,east,5/1/2024,24,M
1077,AMY ESPINOZA,North,5/29/2021,80,F
1078,DANIELLE FULLER,south-west,12/8/2023,40,M
1079,ZACHARY THOMPSON MD,EAST,9/5/2022,59,F
1080,THOMAS PARKER,south-west,2/28/2023,25,M
1081,RYAN WHITE,South,9/4/2020,81,F
1082,CONNOR MARTIN,Central,1/5/2023,41,M
1083,JACQUELINE BISHOP,South,6/5/2020,62,F
1084,MARTHA MCCALL,North,5/31/2022,27,M
1085,STEVEN WRIGHT,Central,8/22/2021,82,F
1086,ROBERT RODRIGUEZ,EAST,3/1/2023,42,M
1087,CARLA TRAN,EAST,7/22/2020,66,F
1088,LINDSAY TORRES,east,12/30/2021,32,M
1089,MATTHEW HERNANDEZ,North,4/12/2023,83,F
